Power Law graph parameters:
m=2	 alpha=2.5	 Nv=5000	 Ne=30000
beta=37 	  p=0.666667 
1586	286	246
1587	286	198
1588	60	37
1589	270	254
1590	287	38
1591	287	217
1592	111	201
1593	200	108
1594	288	129
1595	288	59
1596	159	104
1597	115	170
1598	255	193
1599	281	219
1600	249	201
1601	269	273
1602	289	257
1603	289	202
1604	149	205
1605	151	123
1606	247	144
1607	254	30
1608	290	112
1609	290	267
1610	291	52
1611	291	31
1612	292	150
1613	292	175
1614	293	11
1615	293	151
1616	8	89
1617	148	123
1618	264	164
1619	231	247
1620	250	228
1621	217	37
1622	277	11
1623	15	27
1624	49	25
1625	159	252
1626	294	206
1627	294	261
1628	295	263
1629	295	159
1630	223	247
1631	180	222
1632	275	42
1633	288	127
1634	268	12
1635	125	220
1636	125	256
1637	89	163
1638	197	272
1639	233	212
1640	296	204
1641	296	102
1642	297	159
1643	297	12
1644	53	198
1645	234	252
1646	194	236
1647	258	190
1648	164	254
1649	138	270
1650	87	226
1651	18	226
1652	199	193
1653	125	138
1654	298	290
1655	298	122
1656	163	108
1657	181	194
1658	299	205
1659	299	266
1660	201	12
1661	39	253
1662	225	270
1663	108	261
1664	274	98
1665	199	233
1666	295	13
1667	153	48
1668	80	45
1669	140	181
1670	300	294
1671	300	256
1672	171	78
1673	72	167
1674	153	103
1675	198	173
1676	64	179
1677	247	25
1678	301	82
1679	301	193
1680	302	155
1681	302	58
1682	303	259
1683	303	63
1684	171	154
1685	185	107
1686	47	259
1687	73	66
1688	230	2
1689	239	236
1690	107	246
1691	166	295
1692	92	277
1693	275	220
1694	277	64
1695	215	244
1696	194	101
1697	176	240
1698	304	280
1699	304	62
1700	184	76
1701	239	177
1702	285	150
1703	94	284
1704	272	214
1705	116	184
1706	305	227
1707	305	240
1708	243	228
1709	212	144
1710	79	158
1711	296	238
1712	219	126
1713	147	85
1714	185	220
1715	260	232
1716	89	84
1717	144	159
1718	306	107
1719	306	162
1720	246	105
1721	229	152
1722	169	121
1723	114	265
1724	214	209
1725	107	24
1726	283	142
1727	56	56
1728	307	300
1729	307	291
1730	41	167
1731	298	145
1732	251	9
1733	189	131
1734	206	190
1735	117	223
1736	141	16
1737	306	244
1738	269	253
1739	108	132
1740	282	145
1741	81	216
1742	301	254
1743	232	233
1744	308	264
1745	308	304
1746	309	137
1747	309	223
1748	310	83
1749	310	183
1750	272	305
1751	169	294
1752	311	267
1753	311	149
1754	303	290
1755	296	286
1756	33	262
1757	228	285
1758	307	113
1759	199	202
1760	312	111
1761	312	61
1762	291	252
1763	291	280
1764	313	162
1765	313	235
1766	264	195
1767	74	285
1768	81	260
1769	205	130
1770	275	179
1771	245	98
1772	107	76
1773	261	106
1774	314	74
1775	314	63
1776	315	245
1777	315	127
1778	296	307
1779	268	276
1780	299	52
1781	196	132
1782	316	137
1783	316	138
1784	302	229
1785	310	146
1786	119	179
1787	308	204
1788	317	298
1789	317	281
1790	187	4
1791	270	124
1792	318	301
1793	318	118
1794	77	228
1795	281	289
1796	219	182
1797	174	317
1798	319	249
1799	319	160
1800	251	244
1801	230	268
1802	210	249
1803	100	121
1804	320	166
1805	320	269
1806	162	28
1807	97	308
1808	321	16
1809	321	144
1810	322	289
1811	322	123
1812	323	36
1813	323	232
1814	295	141
1815	292	140
1816	117	162
1817	122	20
1818	293	1
1819	21	288
1820	93	237
1821	230	114
1822	181	135
1823	6	71
1824	296	102
1825	39	180
1826	24	270
1827	134	264
1828	33	104
1829	252	304
1830	324	254
1831	324	282
1832	260	182
1833	181	196
1834	314	69
1835	268	179
1836	325	13
1837	325	311
1838	51	243
1839	300	20
1840	326	322
1841	326	145
1842	285	246
1843	202	97
1844	222	199
1845	288	190
1846	124	255
1847	116	35
1848	327	319
1849	327	155
1850	320	131
1851	256	163
1852	328	307
1853	328	113
1854	23	30
1855	186	94
1856	329	144
1857	329	114
1858	129	297
1859	73	213
1860	133	158
1861	213	26
1862	123	55
1863	230	207
1864	160	232
1865	268	81
1866	330	164
1867	330	207
1868	328	268
1869	222	204
1870	174	153
1871	240	152
1872	284	61
1873	197	163
1874	225	258
1875	287	11
1876	226	228
1877	160	26
1878	54	254
1879	209	181
1880	331	244
1881	331	271
1882	276	307
1883	234	273
1884	23	205
1885	5	221
1886	332	177
1887	332	318
1888	319	213
1889	196	102
1890	292	223
1891	289	325
1892	42	259
1893	301	274
1894	226	122
1895	219	279
1896	333	92
1897	333	225
1898	152	305
1899	325	324
1900	334	288
1901	334	28
1902	277	123
1903	236	136
1904	335	302
1905	335	227
1906	259	250
1907	186	212
1908	11	61
1909	105	194
1910	146	304
1911	302	266
1912	336	123
1913	336	87
1914	337	227
1915	337	317
1916	107	321
1917	203	149
1918	77	191
1919	249	192
1920	338	293
1921	338	323
1922	292	130
1923	205	266
1924	339	258
1925	339	290
1926	340	212
1927	340	274
1928	155	221
1929	219	242
1930	341	235
1931	341	171
1932	303	186
1933	111	66
1934	120	253
1935	262	312
1936	43	125
1937	128	238
1938	342	269
1939	342	131
1940	343	149
1941	343	290
1942	39	337
1943	326	172
1944	287	167
1945	103	283
1946	344	111
1947	344	224
1948	345	59
1949	345	93
1950	346	340
1951	346	126
1952	83	76
1953	343	117
1954	347	212
1955	347	156
1956	348	344
1957	348	71
1958	178	276
1959	219	216
1960	346	215
1961	261	18
1962	349	80
1963	349	178
1964	108	329
1965	324	148
1966	206	323
1967	158	133
1968	316	224
1969	205	101
1970	350	215
1971	350	283
1972	146	222
1973	69	11
1974	57	38
1975	214	350
1976	351	203
1977	351	230
1978	352	93
1979	352	286
1980	30	331
1981	162	252
1982	101	92
1983	312	242
1984	305	326
1985	270	79
1986	322	290
1987	337	291
1988	293	191
1989	345	167
1990	153	239
1991	270	344
1992	353	154
1993	353	316
1994	251	5
1995	93	27
1996	345	340
1997	118	21
1998	280	279
1999	167	157
2000	127	342
2001	141	267
2002	257	118
2003	169	326
2004	297	10
2005	173	268
2006	247	97
2007	258	224
2008	240	199
2009	340	327
2010	102	63
2011	218	107
2012	60	64
2013	239	318
2014	354	103
2015	354	348
2016	5	77
2017	143	161
2018	355	253
2019	355	219
2020	356	345
2021	356	243
2022	110	328
2023	80	329
2024	26	355
2025	292	20
2026	116	178
2027	80	109
2028	315	251
2029	344	232
2030	357	341
2031	357	32
2032	42	50
2033	210	205
2034	358	210
2035	358	142
2036	94	176
2037	276	296
2038	343	256
2039	333	61
2040	359	253
2041	359	114
2042	316	166
2043	295	306
2044	360	138
2045	360	42
2046	183	299
2047	93	283
2048	272	340
2049	102	300
2050	240	56
2051	125	275
2052	209	289
2053	321	126
2054	201	359
2055	94	135
2056	129	189
2057	355	8
2058	93	267
2059	77	127
2060	152	54
2061	204	351
2062	361	283
2063	361	279
2064	362	116
2065	362	316
2066	219	174
2067	359	203
2068	363	183
2069	363	69
2070	143	198
2071	179	340
2072	364	261
2073	364	20
2074	365	254
2075	365	213
2076	304	69
2077	362	334
2078	366	33
2079	366	249
2080	328	113
2081	4	19
2082	281	248
2083	257	228
2084	367	234
2085	367	23
2086	368	355
2087	368	357
2088	369	261
2089	369	51
2090	356	52
2091	366	69
2092	219	147
2093	261	140
2094	299	250
2095	81	230
2096	221	359
2097	84	79
2098	160	314
2099	1	235
2100	370	201
2101	370	110
2102	209	70
2103	211	94
2104	227	102
2105	244	39
2106	371	55
2107	371	225
2108	71	75
2109	349	132
2110	325	238
2111	234	286
2112	372	317
2113	372	40
2114	74	152
2115	292	131
2116	373	103
2117	373	134
2118	374	220
2119	374	360
2120	279	347
2121	280	163
2122	375	122
2123	375	167
2124	376	353
2125	376	303
2126	377	160
2127	377	221
2128	271	347
2129	301	368
2130	378	279
2131	378	253
2132	139	164
2133	335	276
2134	379	282
2135	379	164
2136	87	165
2137	69	182
2138	1	139
2139	126	349
2140	173	104
2141	367	148
2142	203	35
2143	18	292
2144	122	279
2145	272	251
2146	285	139
2147	185	148
2148	380	25
2149	380	51
2150	374	134
2151	231	168
2152	301	190
2153	50	38
2154	346	139
2155	323	53
2156	175	237
2157	142	349
2158	261	201
2159	205	211
2160	280	134
2161	98	10
2162	350	34
2163	156	323
2164	381	281
2165	381	329
2166	183	256
2167	369	276
2168	84	80
2169	30	216
2170	23	213
2171	238	5
2172	382	236
2173	382	128
2174	383	286
2175	383	171
2176	384	259
2177	384	231
2178	303	81
2179	234	186
2180	385	123
2181	385	380
2182	386	157
2183	386	340
2184	376	167
2185	262	365
2186	373	207
2187	283	274
2188	184	366
2189	153	214
2190	244	222
2191	355	300
2192	259	180
2193	279	360
2194	148	135
2195	8	370
2196	205	94
2197	239	297
2198	387	4
2199	387	258
2200	388	108
2201	388	334
2202	389	366
2203	389	95
2204	373	327
2205	192	298
2206	237	293
2207	164	36
2208	113	189
2209	384	333
2210	71	343
2211	208	207
2212	285	307
2213	301	190
2214	252	217
2215	275	82
2216	285	287
2217	130	191
2218	275	373
2219	339	64
2220	38	204
2221	359	88
2222	390	170
2223	390	242
2224	184	19
2225	154	372
2226	391	144
2227	391	295
2228	351	385
2229	299	363
2230	330	10
2231	246	168
2232	392	367
2233	392	295
2234	194	8
2235	300	384
2236	263	381
2237	172	168
2238	393	379
2239	393	197
2240	394	245
2241	394	163
2242	128	221
2243	155	134
2244	268	161
2245	304	285
2246	395	312
2247	395	342
2248	396	293
2249	396	346
2250	63	266
2251	38	147
2252	397	246
2253	397	126
2254	398	181
2255	398	11
2256	369	200
2257	256	389
2258	141	29
2259	236	346
2260	309	283
2261	184	310
2262	325	224
2263	260	14
2264	399	390
2265	399	346
2266	249	68
2267	263	350
2268	400	130
2269	400	349
2270	401	255
2271	401	89
2272	272	207
2273	148	281
2274	402	336
2275	402	242
2276	179	401
2277	340	344
2278	403	96
2279	403	70
2280	73	161
2281	359	297
2282	127	233
2283	325	320
2284	404	359
2285	404	220
2286	405	229
2287	405	49
2288	338	43
2289	160	313
2290	406	316
2291	406	96
2292	407	381
2293	407	308
2294	361	156
2295	310	229
2296	104	100
2297	284	390
2298	14	233
2299	305	311
2300	338	195
2301	137	385
2302	408	255
2303	408	339
2304	409	265
2305	409	195
2306	410	173
2307	410	360
2308	411	402
2309	411	199
2310	101	297
2311	187	193
2312	75	389
2313	255	149
2314	412	381
2315	412	328
2316	413	1
2317	413	408
2318	402	275
2319	193	89
2320	59	41
2321	345	147
2322	271	209
2323	149	318
2324	264	310
2325	289	218
2326	414	392
2327	414	240
2328	215	118
2329	334	119
2330	309	193
2331	218	233
2332	193	401
2333	63	303
2334	356	175
2335	112	44
2336	415	268
2337	415	21
2338	372	349
2339	335	286
2340	201	275
2341	392	16
2342	416	411
2343	416	156
2344	120	166
2345	265	175
2346	257	412
2347	4	93
2348	321	142
2349	199	188
2350	230	286
2351	111	78
2352	109	318
2353	10	288
2354	417	170
2355	417	354
2356	418	63
2357	418	214
2358	419	253
2359	419	278
2360	420	48
2361	420	405
2362	421	209
2363	421	293
2364	369	199
2365	78	284
2366	271	345
2367	271	296
2368	360	283
2369	84	166
2370	422	295
2371	422	378
2372	248	123
2373	245	203
2374	230	192
2375	9	317
2376	423	104
2377	423	264
2378	121	99
2379	399	347
2380	424	15
2381	424	410
2382	425	284
2383	425	265
2384	426	105
2385	426	409
2386	109	350
2387	98	344
2388	37	133
2389	98	371
2390	86	78
2391	67	34
2392	427	412
2393	427	223
2394	428	309
2395	428	33
2396	314	41
2397	207	280
2398	429	372
2399	429	142
2400	430	159
2401	430	189
2402	115	328
2403	134	398
2404	123	412
2405	403	168
2406	431	242
2407	431	331
2408	432	217
2409	432	273
2410	429	341
2411	329	234
2412	354	257
2413	250	344
2414	85	308
2415	42	186
2416	177	300
2417	173	393
2418	364	156
2419	188	389
2420	113	256
2421	231	231
2422	433	362
2423	433	197
2424	307	400
2425	67	34
2426	325	126
2427	241	284
2428	4	68
2429	84	190
2430	388	353
2431	388	235
2432	434	353
2433	434	330
2434	180	381
2435	253	390
2436	204	223
2437	340	404
2438	412	197
2439	232	335
2440	21	409
2441	394	219
2442	309	388
2443	206	269
2444	435	405
2445	435	106
2446	104	198
2447	381	110
2448	347	317
2449	225	387
2450	310	54
2451	340	317
2452	325	204
2453	45	302
2454	436	239
2455	436	73
2456	437	429
2457	437	370
2458	292	9
2459	300	319
2460	222	176
2461	301	401
2462	147	56
2463	340	258
2464	438	232
2465	438	399
2466	439	410
2467	439	383
2468	440	347
2469	440	271
2470	306	124
2471	132	387
2472	441	330
2473	441	24
2474	442	356
2475	442	394
2476	296	403
2477	50	412
2478	443	373
2479	443	150
2480	296	246
2481	188	211
2482	336	255
2483	264	117
2484	444	82
2485	444	308
2486	89	417
2487	228	198
2488	445	428
2489	445	429
2490	250	444
2491	80	340
2492	311	232
2493	146	141
2494	398	228
2495	363	33
2496	446	264
2497	446	327
2498	374	292
2499	284	333
2500	274	20
2501	291	187
2502	447	195
2503	447	308
2504	448	442
2505	448	67
2506	449	267
2507	449	104
2508	450	281
2509	450	334
2510	108	137
2511	429	115
2512	279	2
2513	420	263
2514	436	23
2515	278	317
2516	229	270
2517	386	210
2518	451	208
2519	451	284
2520	452	71
2521	452	252
2522	29	313
2523	181	74
2524	99	164
2525	77	361
2526	152	383
2527	451	160
2528	453	239
2529	453	19
2530	53	407
2531	204	377
2532	454	412
2533	454	198
2534	373	178
2535	238	440
2536	455	293
2537	455	86
2538	343	370
2539	413	198
2540	53	352
2541	396	376
2542	451	392
2543	249	128
2544	456	271
2545	456	367
2546	457	319
2547	457	335
2548	444	275
2549	218	51
2550	409	375
2551	307	398
2552	391	170
2553	283	190
2554	227	377
2555	186	55
2556	347	356
2557	432	407
2558	348	240
2559	292	79
2560	384	182
2561	348	334
2562	221	429
2563	134	214
2564	280	414
2565	256	221
2566	395	308
2567	217	367
2568	34	239
2569	252	345
2570	312	54
2571	323	301
2572	458	331
2573	458	207
2574	88	277
2575	419	205
2576	459	389
2577	459	52
2578	64	231
2579	314	423
2580	460	248
2581	460	397
2582	446	38
2583	148	454
2584	461	327
2585	461	43
2586	269	334
2587	110	165
2588	462	347
2589	462	263
2590	319	255
2591	401	123
2592	458	236
2593	318	456
2594	430	298
2595	339	364
2596	348	161
2597	437	387
2598	463	284
2599	463	121
2600	464	115
2601	464	293
2602	465	457
2603	465	161
2604	466	375
2605	466	259
2606	467	71
2607	467	275
2608	468	354
2609	468	239
2610	416	257
2611	170	353
2612	380	187
2613	86	417
2614	345	266
2615	342	352
2616	153	228
2617	313	331
2618	469	82
2619	469	456
2620	165	10
2621	434	469
2622	470	316
2623	470	443
2624	144	411
2625	260	457
2626	372	444
2627	188	345
2628	471	208
2629	471	437
2630	472	354
2631	472	226
2632	123	67
2633	355	200
2634	351	429
2635	405	399
2636	324	334
2637	378	120
2638	34	100
2639	206	325
2640	473	428
2641	473	317
2642	132	3
2643	414	268
2644	174	394
2645	128	223
2646	468	242
2647	378	388
2648	474	413
2649	474	107
2650	253	401
2651	404	340
2652	221	120
2653	420	273
2654	174	434
2655	1	473
2656	129	339
2657	470	184
2658	62	470
2659	449	449
2660	250	438
2661	435	149
2662	85	243
2663	131	347
2664	475	79
2665	475	154
2666	263	178
2667	350	380
2668	476	303
2669	476	221
2670	477	402
2671	477	363
2672	478	79
2673	478	246
2674	479	320
2675	479	122
2676	477	227
2677	348	240
2678	394	296
2679	232	416
2680	480	401
2681	480	417
2682	134	310
2683	172	461
2684	116	473
2685	169	177
2686	407	470
2687	255	140
2688	481	477
2689	481	466
2690	395	63
2691	374	455
2692	482	353
2693	482	185
2694	483	323
2695	483	60
2696	484	118
2697	484	216
2698	485	120
2699	485	6
2700	16	299
2701	165	247
2702	215	168
2703	110	223
2704	254	164
2705	329	160
2706	166	467
2707	82	100
2708	29	20
2709	128	48
2710	486	360
2711	486	200
2712	487	409
2713	487	23
2714	488	376
2715	488	234
2716	387	476
2717	469	335
2718	469	186
2719	90	56
2720	489	379
2721	489	27
2722	490	432
2723	490	385
2724	150	270
2725	63	448
2726	460	333
2727	38	417
2728	151	194
2729	261	471
2730	491	461
2731	491	363
2732	492	88
2733	492	453
2734	493	301
2735	493	265
2736	37	241
2737	177	265
2738	296	298
2739	485	21
2740	302	256
2741	17	419
2742	157	430
2743	396	95
2744	494	321
2745	494	165
2746	206	77
2747	440	372
2748	495	157
2749	495	209
2750	429	216
2751	185	306
2752	496	399
2753	496	364
2754	497	479
2755	497	222
2756	70	442
2757	297	216
2758	283	117
2759	307	448
2760	498	370
2761	498	220
2762	135	282
2763	187	286
2764	430	289
2765	180	350
2766	307	226
2767	426	251
2768	499	315
2769	499	338
2770	56	484
2771	361	334
2772	500	448
2773	500	327
2774	501	437
2775	501	150
2776	502	228
2777	502	162
2778	341	443
2779	181	452
2780	227	406
2781	397	465
2782	218	177
2783	475	193
2784	338	358
2785	311	231
2786	94	325
2787	213	184
2788	503	292
2789	503	262
2790	152	259
2791	483	103
2792	504	129
2793	504	240
2794	505	212
2795	505	490
2796	506	231
2797	506	340
2798	238	414
2799	460	392
2800	507	234
2801	507	95
2802	55	329
2803	438	499
2804	189	41
2805	162	432
2806	399	286
2807	416	119
2808	381	103
2809	460	320
2810	508	95
2811	508	397
2812	240	392
2813	455	259
2814	358	373
2815	372	292
2816	509	266
2817	509	270
2818	510	461
2819	510	56
2820	511	491
2821	511	269
2822	56	323
2823	423	485
2824	512	313
2825	512	130
2826	135	335
2827	105	167
2828	142	297
2829	369	335
2830	451	359
2831	109	264
2832	513	162
2833	513	240
2834	514	6
2835	514	229
2836	217	118
2837	487	282
2838	40	309
2839	469	258
2840	341	76
2841	84	310
2842	329	105
2843	440	410
2844	515	270
2845	515	20
2846	43	175
2847	32	211
2848	516	81
2849	516	170
2850	468	211
2851	452	397
2852	463	299
2853	410	140
2854	403	52
2855	388	58
2856	30	210
2857	375	233
2858	517	369
2859	517	76
2860	300	191
2861	457	276
2862	518	471
2863	518	387
2864	301	370
2865	480	445
2866	277	290
2867	473	137
2868	519	265
2869	519	243
2870	384	275
2871	336	355
2872	520	421
2873	520	462
2874	521	197
2875	521	505
2876	522	417
2877	522	221
2878	353	407
2879	462	127
2880	523	516
2881	523	370
2882	444	384
2883	211	472
2884	524	97
2885	524	126
2886	412	458
2887	175	476
2888	525	274
2889	525	127
2890	526	271
2891	526	33
2892	146	404
2893	334	290
2894	527	403
2895	527	316
2896	381	132
2897	356	121
2898	115	190
2899	240	346
2900	354	466
2901	187	101
2902	528	364
2903	528	110
2904	529	474
2905	529	498
2906	530	119
2907	530	459
2908	531	209
2909	531	154
2910	15	253
2911	393	394
2912	426	504
2913	313	241
2914	474	396
2915	282	437
2916	532	317
2917	532	163
2918	362	522
2919	236	372
2920	285	420
2921	286	499
2922	533	362
2923	533	265
2924	534	157
2925	534	252
2926	535	344
2927	535	429
2928	536	419
2929	536	512
2930	537	209
2931	537	337
2932	538	351
2933	538	452
2934	539	420
2935	539	349
2936	540	432
2937	540	201
2938	535	383
2939	297	200
2940	481	135
2941	120	332
2942	278	522
2943	526	305
2944	525	357
2945	452	288
2946	541	110
2947	541	521
2948	542	155
2949	542	264
2950	304	476
2951	432	224
2952	149	395
2953	280	518
2954	191	459
2955	496	457
2956	543	321
2957	543	467
2958	481	309
2959	213	515
2960	544	364
2961	544	21
2962	195	328
2963	265	159
2964	545	51
2965	545	136
2966	546	320
2967	546	493
2968	144	460
2969	496	117
2970	476	414
2971	539	106
2972	47	318
2973	514	317
2974	214	123
2975	77	38
2976	82	90
2977	503	186
2978	547	135
2979	547	379
2980	548	106
2981	548	483
2982	304	283
2983	103	477
2984	544	429
2985	254	365
2986	114	210
2987	305	189
2988	549	218
2989	549	411
2990	517	459
2991	333	180
2992	227	437
2993	152	238
2994	550	298
2995	550	181
2996	551	129
2997	551	518
2998	510	184
2999	548	329
3000	60	501
3001	84	513
3002	24	342
3003	371	530
3004	552	11
3005	552	273
3006	553	58
3007	553	449
3008	506	430
3009	477	260
3010	554	427
3011	554	147
3012	555	185
3013	555	432
3014	556	225
3015	556	364
3016	462	188
3017	519	307
3018	306	291
3019	257	356
3020	557	382
3021	557	260
3022	558	209
3023	558	369
3024	559	420
3025	559	302
3026	281	165
3027	183	121
3028	170	456
3029	510	93
3030	547	161
3031	319	327
3032	175	480
3033	517	180
3034	391	278
3035	211	278
3036	513	519
3037	460	300
3038	223	138
3039	271	428
3040	560	196
3041	560	556
3042	385	213
3043	246	290
3044	246	552
3045	499	506
3046	561	448
3047	561	384
3048	211	497
3049	338	190
3050	562	453
3051	562	358
3052	563	297
3053	563	305
3054	134	53
3055	32	334
3056	564	267
3057	564	181
3058	430	476
3059	126	363
3060	476	239
3061	405	189
3062	420	558
3063	560	218
3064	458	431
3065	517	428
3066	376	521
3067	229	256
3068	545	61
3069	31	256
3070	389	450
3071	404	522
3072	148	140
3073	98	357
3074	565	259
3075	565	411
3076	545	267
3077	217	542
3078	566	266
3079	566	247
3080	510	448
3081	517	424
3082	399	219
3083	465	445
3084	567	532
3085	567	225
3086	399	221
3087	144	153
3088	458	504
3089	416	415
3090	568	540
3091	568	222
3092	254	50
3093	551	565
3094	50	460
3095	404	440
3096	431	15
3097	553	188
3098	569	350
3099	569	469
3100	530	360
3101	412	36
3102	463	217
3103	5	83
3104	385	347
3105	494	457
3106	77	372
3107	190	470
3108	338	394
3109	528	567
3110	306	189
3111	182	239
3112	570	425
3113	570	294
3114	277	465
3115	488	531
3116	571	386
3117	571	382
3118	260	470
3119	149	276
3120	572	453
3121	572	81
3122	573	195
3123	573	196
3124	574	394
3125	574	394
3126	252	44
3127	372	60
3128	575	478
3129	575	84
3130	12	472
3131	376	495
3132	538	321
3133	301	215
3134	65	471
3135	531	425
3136	157	281
3137	477	39
3138	576	355
3139	576	288
3140	192	116
3141	80	573
3142	185	444
3143	313	109
3144	106	225
3145	190	396
3146	457	253
3147	244	312
3148	467	513
3149	486	197
3150	577	406
3151	577	308
3152	330	169
3153	543	533
3154	487	117
3155	546	523
3156	492	153
3157	489	306
3158	497	475
3159	24	526
3160	122	473
3161	259	545
3162	547	407
3163	565	159
3164	578	337
3165	578	44
3166	273	186
3167	117	236
3168	579	221
3169	579	444
3170	580	401
3171	580	315
3172	376	295
3173	403	403
3174	121	377
3175	296	562
3176	581	496
3177	581	287
3178	367	530
3179	557	26
3180	582	428
3181	582	129
3182	344	357
3183	150	229
3184	561	540
3185	429	508
3186	182	525
3187	478	537
3188	108	248
3189	294	43
3190	583	303
3191	583	280
3192	178	192
3193	571	464
3194	512	313
3195	38	275
3196	584	255
3197	584	361
3198	518	264
3199	145	252
3200	314	569
3201	557	471
3202	136	280
3203	348	476
3204	322	216
3205	216	344
3206	585	325
3207	585	578
3208	586	248
3209	586	495
3210	355	529
3211	90	541
3212	365	288
3213	573	424
3214	154	146
3215	259	292
3216	587	354
3217	587	560
3218	588	417
3219	588	367
3220	78	349
3221	582	507
3222	486	547
3223	349	88
3224	589	41
3225	589	538
3226	590	248
3227	590	488
3228	356	296
3229	156	200
3230	511	56
3231	26	136
3232	324	340
3233	284	485
3234	307	309
3235	463	99
3236	591	352
3237	591	103
3238	592	222
3239	592	196
3240	436	84
3241	376	154
3242	489	256
3243	113	277
3244	523	523
3245	141	529
3246	593	266
3247	593	545
3248	471	472
3249	286	547
3250	436	572
3251	209	85
3252	341	296
3253	408	190
3254	594	500
3255	594	463
3256	458	399
3257	425	270
3258	419	292
3259	38	324
3260	17	334
3261	446	1
3262	577	13
3263	69	103
3264	326	466
3265	199	319
3266	595	200
3267	595	468
3268	596	523
3269	596	354
3270	358	324
3271	515	140
3272	454	204
3273	242	150
3274	597	6
3275	597	548
3276	486	338
3277	417	299
3278	598	137
3279	598	299
3280	370	573
3281	309	422
3282	277	154
3283	532	307
3284	401	580
3285	275	140
3286	599	279
3287	599	56
3288	600	546
3289	600	359
3290	296	315
3291	134	164
3292	285	316
3293	428	87
3294	469	163
3295	362	288
3296	601	488
3297	601	434
3298	267	433
3299	431	521
3300	112	191
3301	51	594
3302	317	34
3303	486	112
3304	352	196
3305	379	90
3306	382	578
3307	189	496
3308	486	451
3309	599	269
3310	517	543
3311	458	35
3312	602	588
3313	602	80
3314	509	523
3315	162	327
3316	101	238
3317	577	202
3318	332	537
3319	514	294
3320	603	588
3321	603	187
3322	604	158
3323	604	329
3324	114	270
3325	237	345
3326	517	454
3327	336	373
3328	552	241
3329	447	172
3330	605	322
3331	605	273
3332	310	81
3333	521	512
3334	252	211
3335	546	255
3336	208	454
3337	572	524
3338	387	437
3339	180	604
3340	606	432
3341	606	213
3342	607	422
3343	607	76
3344	540	286
3345	373	337
3346	608	66
3347	608	120
3348	609	378
3349	609	236
3350	524	162
3351	564	233
3352	216	225
3353	365	491
3354	300	134
3355	137	569
3356	264	224
3357	334	230
3358	127	166
3359	488	286
3360	566	51
3361	216	90
3362	610	241
3363	610	463
3364	488	333
3365	490	284
3366	500	514
3367	307	230
3368	611	302
3369	611	149
3370	612	126
3371	612	524
3372	613	380
3373	613	153
3374	178	569
3375	573	186
3376	38	320
3377	76	309
3378	614	483
3379	614	181
3380	615	563
3381	615	490
3382	384	504
3383	431	303
3384	145	460
3385	29	414
3386	376	236
3387	164	196
3388	195	344
3389	590	330
3390	616	315
3391	616	313
3392	617	583
3393	617	323
3394	359	411
3395	547	509
3396	618	166
3397	618	460
3398	619	593
3399	619	535
3400	215	244
3401	96	27
3402	510	449
3403	560	453
3404	603	212
3405	494	547
3406	212	534
3407	207	320
3408	314	243
3409	148	276
3410	620	289
3411	620	387
3412	621	353
3413	621	320
3414	539	338
3415	395	572
3416	622	604
3417	622	619
3418	284	184
3419	195	380
3420	623	381
3421	623	38
3422	444	398
3423	314	401
3424	514	552
3425	587	524
3426	262	349
3427	619	303
3428	624	534
3429	624	536
3430	298	416
3431	202	349
3432	625	161
3433	625	320
3434	278	399
3435	219	40
3436	626	93
3437	626	257
3438	627	91
3439	627	239
3440	450	110
3441	554	328
3442	503	283
3443	473	363
3444	349	441
3445	363	457
3446	628	476
3447	628	217
3448	2	501
3449	583	491
3450	91	148
3451	565	216
3452	120	269
3453	428	83
3454	396	336
3455	449	188
3456	629	332
3457	629	155
3458	409	263
3459	588	258
3460	630	413
3461	630	326
3462	631	576
3463	631	314
3464	632	620
3465	632	598
3466	633	600
3467	633	530
3468	267	383
3469	492	381
3470	568	399
3471	574	212
3472	533	329
3473	343	353
3474	632	585
3475	461	546
3476	247	486
3477	382	576
3478	634	160
3479	634	243
3480	156	85
3481	281	634
3482	112	315
3483	257	199
3484	120	298
3485	339	377
3486	635	178
3487	635	247
3488	10	45
3489	622	46
3490	636	86
3491	636	584
3492	637	538
3493	637	439
3494	638	226
3495	638	626
3496	590	271
3497	210	138
3498	639	51
3499	639	159
3500	640	603
3501	640	458
3502	302	429
3503	398	506
3504	641	237
3505	641	523
3506	600	439
3507	406	143
3508	94	208
3509	389	288
3510	642	397
3511	642	68
3512	105	34
3513	6	544
3514	487	406
3515	566	172
3516	131	621
3517	634	113
3518	488	557
3519	484	537
3520	642	578
3521	252	604
3522	281	575
3523	635	603
3524	74	241
3525	388	450
3526	178	640
3527	610	560
3528	643	435
3529	643	551
3530	296	186
3531	80	586
3532	644	602
3533	644	641
3534	297	310
3535	240	167
3536	645	500
3537	645	443
3538	415	627
3539	504	421
3540	646	86
3541	646	416
3542	647	437
3543	647	212
3544	648	587
3545	648	428
3546	367	290
3547	378	79
3548	649	111
3549	649	368
3550	440	250
3551	343	498
3552	557	436
3553	183	377
3554	290	224
3555	393	609
3556	323	325
3557	526	139
3558	450	44
3559	193	553
3560	624	470
3561	582	46
3562	489	465
3563	522	374
3564	650	393
3565	650	415
3566	651	249
3567	651	647
3568	160	607
3569	544	203
3570	652	5
3571	652	475
3572	163	80
3573	334	375
3574	276	204
3575	277	120
3576	391	192
3577	83	462
